CP_FILE_NAME: all2all_8
HOST: nico3
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NODE_NUM: 1
NTASK_PER_NODE: 8
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,0]]
MIXED_P2P_NUM: 6561
21121000: time 1.010364 s, REAL_BD 9.897423 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02121000: time 0.479383 s, REAL_BD 20.860147 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12121000: time 0.698268 s, REAL_BD 14.321149 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22121000: time 0.485194 s, REAL_BD 20.610313 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00221000: time 0.480908 s, REAL_BD 20.793998 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10221000: time 0.722603 s, REAL_BD 13.838858 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20221000: time 0.483656 s, REAL_BD 20.675852 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01221000: time 0.941601 s, REAL_BD 10.620210 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11221000: time 1.756140 s, REAL_BD 5.694307 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21221000: time 0.969631 s, REAL_BD 10.313202 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02221000: time 0.478839 s, REAL_BD 20.883846 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12221000: time 0.705575 s, REAL_BD 14.172838 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22221000: time 0.484845 s, REAL_BD 20.625148 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00002000: time 0.451945 s, REAL_BD 22.126586 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10002000: time 0.697436 s, REAL_BD 14.338233 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20002000: time 0.458371 s, REAL_BD 21.816389 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01002000: time 0.960827 s, REAL_BD 10.407701 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11002000: time 1.767228 s, REAL_BD 5.658579 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21002000: time 0.937880 s, REAL_BD 10.662345 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02002000: time 0.551190 s, REAL_BD 18.142564 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12002000: time 0.554059 s, REAL_BD 18.048619 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22002000: time 0.557155 s, REAL_BD 17.948327 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00102000: time 0.574444 s, REAL_BD 17.408137 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10102000: time 0.573169 s, REAL_BD 17.446861 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20102000: time 0.561684 s, REAL_BD 17.803605 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01102000: time 0.945729 s, REAL_BD 10.573854 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11102000: time 1.749732 s, REAL_BD 5.715161 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21102000: time 0.926728 s, REAL_BD 10.790653 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02102000: time 0.469066 s, REAL_BD 21.318962 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12102000: time 0.550338 s, REAL_BD 18.170651 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22102000: time 0.472126 s, REAL_BD 21.180786 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00202000: time 0.458026 s, REAL_BD 21.832822 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
