HOST: g3017
CP_FILE_NAME: small
HOST: g3017
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NNODES: 1
NTASK_PER_NODE: 8
COMM_MODULE: raw-nccl
+ srun -p rag -N 1 --ntasks-per-node 8 --gres=gpu:8 --mem 256G -K -w g3017 -c 16 ./scripts/executor.sh python conflict_bench.py --backend NCCL --config ./scripts/configs/small_8.json --comm-module raw-nccl
NCCL version 2.18.6+cuda11.8
[INFO]: Cluster init done !!!
[[0, 1]]
NCCL version 2.21.5+cuda11.8
SIZE 29360128, REAL_BD 366.952 GB/s, BD/PAIR 183.476 GB/s, time 0.016 s, comm_vol 5.872 GB
SIZE 33554432, REAL_BD 378.179 GB/s, BD/PAIR 189.09 GB/s, time 0.0177 s, comm_vol 6.711 GB
SIZE 41943040, REAL_BD 386.565 GB/s, BD/PAIR 193.282 GB/s, time 0.0217 s, comm_vol 8.389 GB
SIZE 50331648, REAL_BD 386.992 GB/s, BD/PAIR 193.496 GB/s, time 0.026 s, comm_vol 10.066 GB
SIZE 58720256, REAL_BD 396.032 GB/s, BD/PAIR 198.016 GB/s, time 0.0297 s, comm_vol 11.744 GB
SIZE 67108864, REAL_BD 399.936 GB/s, BD/PAIR 199.968 GB/s, time 0.0336 s, comm_vol 13.422 GB
SIZE 83886080, REAL_BD 408.226 GB/s, BD/PAIR 204.113 GB/s, time 0.0411 s, comm_vol 16.777 GB
SIZE 100663296, REAL_BD 413.118 GB/s, BD/PAIR 206.559 GB/s, time 0.0487 s, comm_vol 20.133 GB
SIZE 117440512, REAL_BD 417.608 GB/s, BD/PAIR 208.804 GB/s, time 0.0562 s, comm_vol 23.488 GB
SIZE 134217728, REAL_BD 421.07 GB/s, BD/PAIR 210.535 GB/s, time 0.0638 s, comm_vol 26.844 GB
SIZE 167772160, REAL_BD 422.086 GB/s, BD/PAIR 211.043 GB/s, time 0.0795 s, comm_vol 33.554 GB
SIZE 201326592, REAL_BD 423.263 GB/s, BD/PAIR 211.632 GB/s, time 0.0951 s, comm_vol 40.265 GB
SIZE 234881024, REAL_BD 427.857 GB/s, BD/PAIR 213.929 GB/s, time 0.1098 s, comm_vol 46.976 GB
SIZE 268435456, REAL_BD 430.244 GB/s, BD/PAIR 215.122 GB/s, time 0.1248 s, comm_vol 53.687 GB
SIZE 335544320, REAL_BD 449.341 GB/s, BD/PAIR 224.671 GB/s, time 0.1493 s, comm_vol 67.109 GB
SIZE 402653184, REAL_BD 452.721 GB/s, BD/PAIR 226.361 GB/s, time 0.1779 s, comm_vol 80.531 GB
SIZE 469762048, REAL_BD 452.509 GB/s, BD/PAIR 226.255 GB/s, time 0.2076 s, comm_vol 93.952 GB
SIZE 536870912, REAL_BD 451.784 GB/s, BD/PAIR 225.892 GB/s, time 0.2377 s, comm_vol 107.374 GB
SIZE 671088640, REAL_BD 453.519 GB/s, BD/PAIR 226.759 GB/s, time 0.2959 s, comm_vol 134.218 GB
SIZE 805306368, REAL_BD 453.994 GB/s, BD/PAIR 226.997 GB/s, time 0.3548 s, comm_vol 161.061 GB
SIZE 939524096, REAL_BD 450.303 GB/s, BD/PAIR 225.152 GB/s, time 0.4173 s, comm_vol 187.905 GB
SIZE 1073741824, REAL_BD 444.318 GB/s, BD/PAIR 222.159 GB/s, time 0.4833 s, comm_vol 214.748 GB
[[0, 1], [1, 2], [2, 3], [3, 0]]
NCCL version 2.21.5+cuda11.8
NCCL version 2.21.5+cuda11.8
SIZE 8192, REAL_BD 805.668 MB/s, BD/PAIR 201.417 MB/s, time 0.0041 s, comm_vol 3.277 MB
SIZE 16384, REAL_BD 2.62 GB/s, BD/PAIR 654.908 MB/s, time 0.0025 s, comm_vol 6.554 MB
SIZE 24576, REAL_BD 3.841 GB/s, BD/PAIR 960.216 MB/s, time 0.0026 s, comm_vol 9.83 MB
SIZE 32768, REAL_BD 6.217 GB/s, BD/PAIR 1.554 GB/s, time 0.0021 s, comm_vol 13.107 MB
SIZE 40960, REAL_BD 8.963 GB/s, BD/PAIR 2.241 GB/s, time 0.0018 s, comm_vol 16.384 MB
