CP_FILE_NAME: all2all_4
HOST: nico4
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 4
PROC_NUM: 4
NODE_NUM: 1
NTASK_PER_NODE: 4
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,0]]
MIXED_P2P_NUM: 256
3012: time 0.479505 s, REAL_BD 10.427420 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0112: time 1.364561 s, REAL_BD 3.664182 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1112: time 1.190262 s, REAL_BD 4.200756 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2112: time 0.977413 s, REAL_BD 5.115545 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3112: time 1.165224 s, REAL_BD 4.291020 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0212: time 0.588951 s, REAL_BD 8.489671 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1212: time 0.453483 s, REAL_BD 11.025772 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2212: time 0.489960 s, REAL_BD 10.204915 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3212: time 0.454676 s, REAL_BD 10.996842 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0312: time 1.355882 s, REAL_BD 3.687637 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1312: time 1.189407 s, REAL_BD 4.203775 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2312: time 0.981645 s, REAL_BD 5.093491 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3312: time 1.162934 s, REAL_BD 4.299470 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0022: time 0.567193 s, REAL_BD 8.815342 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1022: time 0.485771 s, REAL_BD 10.292916 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2022: time 0.338219 s, REAL_BD 14.783321 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
3022: time 0.476569 s, REAL_BD 10.491660 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
0122: time 1.248283 s, REAL_BD 4.005502 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
1122: time 1.084426 s, REAL_BD 4.610734 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
2122: time 0.881771 s, REAL_BD 5.670406 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
3122: time 1.043470 s, REAL_BD 4.791705 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
0222: time 0.582237 s, REAL_BD 8.587568 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
1222: time 0.488090 s, REAL_BD 10.244012 GB/s, SIZE 131072.000000 KB, max_BD: 14.783321 GB/s
2222: time 0.296550 s, REAL_BD 16.860563 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3222: time 0.479178 s, REAL_BD 10.434536 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0322: time 1.238626 s, REAL_BD 4.036731 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1322: time 1.083561 s, REAL_BD 4.614415 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2322: time 0.887265 s, REAL_BD 5.635295 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3322: time 1.041901 s, REAL_BD 4.798920 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0032: time 0.570450 s, REAL_BD 8.765010 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1032: time 0.483923 s, REAL_BD 10.332222 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2032: time 0.381664 s, REAL_BD 13.100528 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3032: time 0.479459 s, REAL_BD 10.428420 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0132: time 1.364769 s, REAL_BD 3.663624 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1132: time 1.190278 s, REAL_BD 4.200699 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2132: time 0.972424 s, REAL_BD 5.141790 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3132: time 1.164534 s, REAL_BD 4.293563 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0232: time 0.592755 s, REAL_BD 8.435188 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1232: time 0.463742 s, REAL_BD 10.781857 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2232: time 0.484796 s, REAL_BD 10.313616 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3232: time 0.474484 s, REAL_BD 10.537763 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0332: time 1.359329 s, REAL_BD 3.678285 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1332: time 1.188812 s, REAL_BD 4.205879 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2332: time 0.981387 s, REAL_BD 5.094830 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3332: time 1.162716 s, REAL_BD 4.300276 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0003: time 1.074960 s, REAL_BD 4.651336 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1003: time 1.065979 s, REAL_BD 4.690524 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2003: time 0.967295 s, REAL_BD 5.169054 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3003: time 1.067811 s, REAL_BD 4.682477 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0103: time 1.607209 s, REAL_BD 3.110983 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1103: time 1.576974 s, REAL_BD 3.170629 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2103: time 1.598270 s, REAL_BD 3.128383 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3103: time 1.578918 s, REAL_BD 3.166726 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0203: time 1.390498 s, REAL_BD 3.595834 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1203: time 1.379902 s, REAL_BD 3.623446 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
2203: time 1.277604 s, REAL_BD 3.913576 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
3203: time 1.380856 s, REAL_BD 3.620942 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
0303: time 1.584464 s, REAL_BD 3.155641 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
1303: time 1.576112 s, REAL_BD 3.172363 GB/s, SIZE 131072.000000 KB, max_BD: 16.860563 GB/s
