make -C csrc
make[1]: Entering directory '/home/yhy/fold/comm_test/csrc'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/yhy/fold/comm_test/csrc'
GPU_NUM: 4
CUDA_VISIBLE_DEVICES: 
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
SC0: 0.005844 s, REAL_BD 0.000357 GB/s, SIZE 0.000001 GB, comm_vol 0.000002 GB
SC0: 0.015578 s, REAL_BD 0.000268 GB/s, SIZE 0.000002 GB, comm_vol 0.000004 GB
SC0: 0.005537 s, REAL_BD 0.001507 GB/s, SIZE 0.000004 GB, comm_vol 0.000008 GB
SC0: 0.014944 s, REAL_BD 0.001117 GB/s, SIZE 0.000008 GB, comm_vol 0.000017 GB
SC0: 0.005021 s, REAL_BD 0.006648 GB/s, SIZE 0.000015 GB, comm_vol 0.000033 GB
SC0: 0.014363 s, REAL_BD 0.004648 GB/s, SIZE 0.000031 GB, comm_vol 0.000067 GB
SC0: 0.006367 s, REAL_BD 0.020970 GB/s, SIZE 0.000061 GB, comm_vol 0.000134 GB
SC0: 0.014738 s, REAL_BD 0.018118 GB/s, SIZE 0.000122 GB, comm_vol 0.000267 GB
SC0: 0.005121 s, REAL_BD 0.104288 GB/s, SIZE 0.000244 GB, comm_vol 0.000534 GB
SC0: 0.005525 s, REAL_BD 0.193324 GB/s, SIZE 0.000488 GB, comm_vol 0.001068 GB
SC0: 0.006590 s, REAL_BD 0.324162 GB/s, SIZE 0.000977 GB, comm_vol 0.002136 GB
SC0: 0.007215 s, REAL_BD 0.592164 GB/s, SIZE 0.001953 GB, comm_vol 0.004272 GB
SC0: 0.008873 s, REAL_BD 0.963025 GB/s, SIZE 0.003906 GB, comm_vol 0.008545 GB
SC0: 0.012152 s, REAL_BD 1.406340 GB/s, SIZE 0.007812 GB, comm_vol 0.017090 GB
SC0: 0.027912 s, REAL_BD 1.224552 GB/s, SIZE 0.015625 GB, comm_vol 0.034180 GB
SC0: 0.040698 s, REAL_BD 1.679674 GB/s, SIZE 0.031250 GB, comm_vol 0.068359 GB
SC0: 0.061151 s, REAL_BD 2.235757 GB/s, SIZE 0.062500 GB, comm_vol 0.136719 GB
SC0: 0.100050 s, REAL_BD 2.733008 GB/s, SIZE 0.125000 GB, comm_vol 0.273438 GB
SC0: 0.188352 s, REAL_BD 2.903473 GB/s, SIZE 0.250000 GB, comm_vol 0.546875 GB
SC0: 0.355180 s, REAL_BD 3.079425 GB/s, SIZE 0.500000 GB, comm_vol 1.093750 GB
SC0: 0.707909 s, REAL_BD 3.090086 GB/s, SIZE 1.000000 GB, comm_vol 2.187500 GB
SC0: 1.394393 s, REAL_BD 3.137566 GB/s, SIZE 2.000000 GB, comm_vol 4.375000 GB
SC0: 2.795030 s, REAL_BD 3.130557 GB/s, SIZE 4.000000 GB, comm_vol 8.750000 GB
SC0: 5.567331 s, REAL_BD 3.143337 GB/s, SIZE 8.000000 GB, comm_vol 17.500000 GB
SC1: 0.000502 s, REAL_BD 0.004156 GB/s, SIZE 0.000001 GB, comm_vol 0.000002 GB
SC1: 0.000522 s, REAL_BD 0.007993 GB/s, SIZE 0.000002 GB, comm_vol 0.000004 GB
SC1: 0.000500 s, REAL_BD 0.016689 GB/s, SIZE 0.000004 GB, comm_vol 0.000008 GB
SC1: 0.000510 s, REAL_BD 0.032724 GB/s, SIZE 0.000008 GB, comm_vol 0.000017 GB
